"Country","Year","TotalPopulation","LifeExpectancy","GDPPerCapita","ChildrenPerWoman","UnderFiveMortality","region","NumIncidents","NumFatalities","NumWounded","PctSuccess","FatalPerInc","NumCode","ReligionDetail","HDI","MilXpnd","Religion"
"Afghanistan",1970,11.964906,36.663,1119.906184,7.671,309,"SouthAs",0,0,0,NA,NA,4,"Sunni Muslim",NA,NA,"Muslim (Sunni)"
"Afghanistan",1971,12.273101,37.143,1039.780886,7.671,304.1,"SouthAs",0,0,0,NA,NA,4,"Sunni Muslim",NA,NA,"Muslim (Sunni)"
"Afghanistan",1972,12.593688,37.614,994.4720758,7.671,299,"SouthAs",0,0,0,NA,NA,4,"Sunni Muslim",NA,NA,"Muslim (Sunni)"
"Afghanistan",1973,12.915499,38.075,1079.818009,7.671,294,"SouthAs",1,0,1,0,0,4,"Sunni Muslim",NA,NA,"Muslim (Sunni)"
"Afghanistan",1974,13.223928,38.529,1109.509798,7.671,288.8,"SouthAs",0,0,0,NA,NA,4,"Sunni Muslim",NA,NA,"Muslim (Sunni)"
"Afghanistan",1975,13.505544,38.977,1137.547062,7.671,283.6,"SouthAs",0,0,0,NA,NA,4,"Sunni Muslim",NA,NA,"Muslim (Sunni)"
"Afghanistan",1976,13.766792,39.417,1164.089498,7.67,278,"SouthAs",0,0,0,NA,NA,4,"Sunni Muslim",NA,NA,"Muslim (Sunni)"
"Afghanistan",1977,14.003408,39.855,1056.469927,7.67,272.7,"SouthAs",0,0,0,NA,NA,4,"Sunni Muslim",NA,NA,"Muslim (Sunni)"
"Afghanistan",1978,14.179656,40.298,1111.541965,7.67,267,"SouthAs",0,0,0,NA,NA,4,"Sunni Muslim",NA,NA,"Muslim (Sunni)"
"Afghanistan",1979,14.249493,40.756,1087.327241,7.669,260.9,"SouthAs",3,53,1,100,17.7,4,"Sunni Muslim",NA,NA,"Muslim (Sunni)"
"Afghanistan",1980,14.185729,41.242,1089.15162,7.669,255,"SouthAs",0,0,0,NA,NA,4,"Sunni Muslim",0.23,NA,"Muslim (Sunni)"
"Afghanistan",1981,13.984092,NA,1205.305056,7.67,248.7,"SouthAs",0,0,0,NA,NA,4,"Sunni Muslim",0.23,NA,"Muslim (Sunni)"
"Afghanistan",1982,13.67287,NA,1314.364729,7.671,242.1,"SouthAs",0,0,0,NA,NA,4,"Sunni Muslim",0.23,NA,"Muslim (Sunni)"
"Afghanistan",1983,13.300056,NA,1361.564785,7.673,235.1,"SouthAs",0,0,0,NA,NA,4,"Sunni Muslim",0.23,NA,"Muslim (Sunni)"
"Afghanistan",1984,12.931791,NA,1336.619708,7.676,227.5,"SouthAs",0,0,0,NA,NA,4,"Sunni Muslim",0.23,NA,"Muslim (Sunni)"
"Afghanistan",1985,12.625292,NA,1292.744819,7.679,219.6,"SouthAs",0,0,0,NA,NA,4,"Sunni Muslim",0.23,NA,"Muslim (Sunni)"
"Afghanistan",1986,12.372113,NA,1385.42645,7.681,211.3,"SouthAs",0,0,0,NA,NA,4,"Sunni Muslim",0.23,NA,"Muslim (Sunni)"
"Afghanistan",1987,12.183387,NA,1145.54812,7.682,203.3,"SouthAs",1,0,2,100,0,4,"Sunni Muslim",0.23,NA,"Muslim (Sunni)"
"Afghanistan",1988,12.156685,NA,1034.829439,7.682,195,"SouthAs",11,128,106,100,11.6,4,"Sunni Muslim",0.23,NA,"Muslim (Sunni)"
